,wind power production
830,352.04
831,792.89
832,1023.5999999999999
833,504.59999999999997
834,152.57999999999998
835,142.86
836,15.17
837,-0.3999999999999999
838,104.84
839,79.12
840,260.6
841,250.76
842,346.81
843,403.65
844,144.25
845,612.29
846,192.76
847,24.91
848,224.88
849,104.89
850,67.76
851,86.61
852,171.79
853,162.75
854,34.099999999999994
855,24.91
856,23.5
857,203.17000000000002
858,654.5
859,573.13
860,385.03
861,1273.37
862,1462.06
863,1129.71
864,981.42
865,997.84
866,976.94
867,796.51
868,876.8
869,627.26
870,946.51
871,959.6800000000001
872,960.27
873,996.97
874,1131.58
875,930.91
876,1084.42
877,523.38
878,899.4200000000001
879,694.99
880,997.74
881,997.88
882,757.06
883,585.05
884,510.9
885,624.61
886,239.07999999999998
887,147.73000000000002
888,135.18
889,283.63
890,389.85
891,408.28
892,940.5799999999999
893,997.8
894,1018.27
895,1111.6
896,1157.4699999999998
897,1197.8200000000002
898,1197.8000000000002
899,1197.76
900,1302.5500000000002
901,1397.98
902,1394.15
903,1304.15
904,1367.3600000000001
905,1170.67
906,1223.69
907,1347.48
908,1368.21
909,1397.5700000000002
910,1398.7
911,1398.9699999999998
912,1347.8200000000002
913,1198.1
914,1198.38
915,1198.08
916,1184.63
917,1229.63
918,1311.0300000000002
919,1594.67
920,1598.67
921,1598.54
922,1593.2
923,1589.96
924,1469.87
925,1091.77
926,1093.44
927,1117.15
928,1589.1799999999998
929,1589.9099999999999
930,1559.74
931,1419.5
932,1041.35
933,778.78
934,185.31
935,90.14
936,158.55
937,89.35
938,46.260000000000005
939,56.95
940,-0.29000000000000004
941,58.78
942,174.06
943,108.82
944,141.89
945,247.64000000000001
946,42.68
947,82.67
948,99.28999999999999
949,81.53
950,40.88
951,52.599999999999994
952,27.59
953,4.66
954,-3.98
955,-6.82
956,-6.880000000000001
957,-6.9
958,-6.92
959,-6.93
960,-6.9399999999999995
961,-6.949999999999999
962,-6.949999999999999
963,-6.949999999999999
964,-6.949999999999999
965,-6.970000000000001
966,-6.98
967,-6.98
968,-7.0
969,-7.0
970,-7.0
971,11.36
972,61.87
973,41.71
974,77.39
975,66.4
976,65.41
977,49.06
978,90.04
979,103.57
980,233.90999999999997
981,210.35
982,332.77
983,433.85
984,270.53000000000003
985,101.18
986,205.89999999999998
987,533.6800000000001
988,316.74
989,135.9
990,383.19000000000005
991,366.78
992,497.11
993,398.35
994,286.94
995,350.13
996,437.61
997,388.73
998,334.45
999,376.82000000000005
1000,696.89
1001,292.37
1002,433.95000000000005
1003,969.51
1004,774.3199999999999
1005,739.52
1006,490.0
1007,543.5
1008,214.64999999999998
1009,103.28
1010,326.65999999999997
1011,311.74
1012,125.4
1013,214.75
1014,134.25
1015,113.25
1016,55.64
1017,101.53999999999999
1018,337.71000000000004
1019,507.89
1020,354.53999999999996
1021,102.06
1022,-7.26
1023,22.58
1024,31.259999999999998
1025,0.1299999999999999
1026,-6.880000000000001
1027,-1.2100000000000002
1028,12.43
1029,-3.0700000000000003
1030,57.86
1031,4.41
1032,89.05
1033,107.6
1034,5.73
1035,185.7
1036,-7.09
1037,39.02
1038,5.79
1039,-7.13
1040,-7.140000000000001
1041,-7.16
1042,-5.84
1043,-7.16
1044,-7.21
1045,6.09
1046,-7.1899999999999995
1047,-7.24
1048,-7.27
1049,-7.279999999999999
1050,-7.279999999999999
1051,11.950000000000001
1052,14.42
1053,-7.13
1054,-6.21
1055,38.22
1056,45.08
1057,-7.09
1058,-7.09
1059,1.12
1060,29.450000000000003
1061,233.82999999999998
1062,373.42
1063,300.09000000000003
1064,702.0
1065,555.24
1066,328.09000000000003
1067,124.93
1068,212.62
1069,142.03
1070,434.31999999999994
1071,743.49
1072,1376.65
1073,1361.2
1074,1378.03
1075,1178.14
1076,1379.6100000000001
1077,453.90999999999997
1078,865.14
1079,843.6800000000001
1080,967.3900000000001
1081,860.94
1082,495.56
1083,61.489999999999995
1084,131.01999999999998
1085,125.96
1086,40.599999999999994
1087,76.17
1088,48.47
1089,99.71000000000001
1090,120.03
1091,26.61
1092,21.63
1093,19.36
1094,61.849999999999994
1095,13.120000000000001
1096,17.98
1097,300.87
1098,508.46999999999997
1099,418.93
1100,292.77
1101,467.59
1102,396.36
1103,844.22
1104,676.44
1105,907.14
1106,888.65
1107,989.46
1108,979.5699999999999
1109,997.98
1110,1099.37
1111,1280.1100000000001
1112,1359.3600000000001
1113,1397.58
1114,1452.08
1115,1209.37
1116,639.31
1117,788.45
1118,1103.46
1119,1241.3
1120,1118.3000000000002
1121,1583.1599999999999
1122,1597.79
1123,1598.6399999999999
1124,1598.77
1125,1598.8200000000002
1126,1385.92
1127,1258.69
1128,1196.85
1129,1037.0700000000002
1130,955.6
1131,840.74
1132,748.1
1133,720.23
1134,796.05
1135,1114.57
1136,1197.97
1137,1192.51
1138,1198.54
1139,1198.5
1140,1198.51
1141,1198.46
1142,1198.31
1143,1198.28
1144,1198.1799999999998
1145,1198.13
1146,1364.92
1147,1398.19
1148,1384.0500000000002
1149,995.6500000000001
1150,985.96
1151,973.38
1152,585.78
1153,258.03999999999996
1154,541.33
1155,275.85
1156,413.87
1157,690.3199999999999
1158,525.15
1159,633.6800000000001
1160,442.32
1161,214.36
1162,488.52
1163,1028.33
1164,776.5799999999999
1165,354.72
1166,182.97
1167,38.29
1168,8.84
1169,-1.8599999999999999
1170,1.18
1171,-7.41
1172,-7.42
1173,-7.42
1174,-7.41
1175,-7.4
1176,-7.390000000000001
1177,-7.38
1178,-7.38
1179,-7.369999999999999
1180,-5.32
1181,-3.61
1182,-3.61
1183,-3.61
1184,-3.5199999999999996
1185,13.15
1186,68.36999999999999
1187,15.02
1188,44.5
1189,86.97999999999999
1190,52.510000000000005
1191,48.36
1192,36.54
1193,32.18
1194,-0.5700000000000001
1195,14.620000000000001
1196,44.06
1197,41.37
1198,54.730000000000004
1199,138.55
1200,205.79000000000002
1201,186.05
1202,140.94
1203,166.52
1204,282.96000000000004
1205,389.68
1206,233.66
1207,263.48
1208,154.23000000000002
1209,360.99
1210,397.07
1211,468.5
1212,497.14
1213,534.13
1214,749.77
1215,896.24
1216,898.24
1217,898.11
1218,898.22
1219,897.87
1220,898.24
1221,898.38
1222,36.07
1223,-1.7
1224,3.3800000000000003
1225,9.91
1226,-1.5
1227,60.13
1228,559.89
1229,597.82
1230,597.77
1231,653.09
1232,19.33
1233,-1.61
1234,-1.58
1235,-1.53
1236,-1.54
1237,-1.72
1238,-1.89
1239,-2.8099999999999996
1240,-3.13
1241,-3.4899999999999998
1242,-3.5
1243,28.049999999999997
1244,483.45
1245,422.38
1246,223.20000000000002
1247,168.29000000000002
1248,141.44
1249,112.36
1250,66.55
1251,62.160000000000004
1252,72.03
1253,80.78
1254,80.22
1255,46.36
1256,35.96
1257,75.61999999999999
1258,81.58
1259,96.19
1260,148.55
1261,114.86
1262,44.870000000000005
1263,23.959999999999997
1264,28.0
1265,23.189999999999998
1266,0.92
1267,-2.9699999999999998
1268,1.11
1269,10.74
1270,20.479999999999997
1271,23.479999999999997
1272,26.919999999999998
1273,3.8400000000000003
1274,-3.5599999999999996
1275,-3.5799999999999996
1276,-3.59
1277,-3.5999999999999996
1278,-3.61
1279,-3.61
1280,-3.6199999999999997
1281,-3.79
1282,-1.23
1283,-3.37
1284,0.0
1285,-7.1899999999999995
1286,1.2200000000000002
1287,176.04
1288,198.33
1289,235.09
1290,444.75
1291,677.4
1292,875.75
1293,897.9399999999999
1294,897.85
1295,741.9699999999999
1296,597.68
1297,515.38
1298,497.44
1299,497.32
1300,497.27000000000004
1301,497.32
1302,540.8
1303,618.18
1304,677.2900000000001
1305,763.87
1306,797.98
1307,798.6999999999999
1308,799.5999999999999
1309,798.8699999999999
1310,798.6400000000001
1311,798.9699999999999
1312,800.4
1313,798.21
1314,798.69
1315,797.35
1316,797.73
1317,797.9000000000001
1318,747.39
1319,821.89
1320,601.07
1321,497.03
1322,497.06
1323,497.01
1324,497.03999999999996
1325,411.44
1326,702.37
1327,781.7199999999999
1328,797.15
1329,796.9399999999999
1330,797.2199999999999
1331,797.54
1332,797.4
1333,797.24
1334,797.4
1335,490.13
1336,749.45
1337,797.32
1338,797.34
1339,797.4200000000001
1340,797.36
1341,455.04
1342,-4.0
1343,-1.8199999999999998
1344,-1.3
1345,293.14
1346,267.01
1347,-1.16
1348,354.4
1349,401.0
1350,401.42
1351,401.03000000000003
1352,413.34000000000003
1353,795.64
1354,798.84
1355,797.6199999999999
1356,797.9699999999999
1357,797.8
1358,797.87
1359,797.72
1360,798.06
1361,798.6800000000001
1362,798.7900000000001
1363,797.78
1364,797.38
1365,796.3100000000001
1366,797.4799999999999
1367,791.9100000000001
1368,564.09
1369,497.13
1370,497.12
1371,497.14
1372,497.11
1373,497.11
1374,373.7
1375,485.34
1376,447.29
1377,514.13
1378,600.27
1379,431.64
1380,307.0
1381,433.96000000000004
1382,603.05
1383,666.34
1384,478.83
1385,608.26
1386,815.45
1387,1003.8299999999999
1388,1285.54
1389,1181.48
1390,1008.97
1391,627.04
1392,509.72
1393,498.96
1394,437.61
1395,396.95
1396,482.20000000000005
1397,496.95
1398,573.26
1399,530.7700000000001
1400,512.6199999999999
1401,452.04
1402,476.95
1403,566.9799999999999
1404,431.36
1405,231.91
1406,19.619999999999997
1407,1.6700000000000004
1408,-4.18
1409,-3.9200000000000004
1410,11.69
1411,19.5
1412,8.76
1413,-3.44
1414,-2.51
1415,2.44
1416,7.4
1417,-5.11
1418,-7.51
1419,-7.529999999999999
1420,-7.59
1421,-7.58
1422,-7.58
1423,-7.59
1424,-7.59
1425,-7.59
1426,-7.58
1427,-7.609999999999999
1428,-7.62
1429,-7.64
1430,-7.64
1431,-6.15
1432,-7.65
1433,-7.67
1434,-7.67
1435,-7.68
1436,-7.68
1437,-7.67
1438,-7.66
1439,-7.66
1440,-7.66
1441,-7.64
1442,-6.42
1443,3.35
1444,42.73
1445,68.45
1446,-7.33
1447,-3.4299999999999997
1448,3.84
1449,3.8600000000000003
1450,0.18999999999999995
1451,14.62
1452,23.68
1453,4.67
1454,23.45
1455,32.95
1456,56.65
1457,83.35
1458,107.09
1459,373.88
1460,252.46
1461,338.54
1462,311.24
1463,761.06
1464,467.18
1465,194.18
1466,180.83
1467,319.17
1468,433.72
1469,409.86
1470,325.71
1471,201.38
1472,89.78
1473,104.91
1474,172.42000000000002
1475,167.75
1476,177.57
1477,310.9
1478,355.23
1479,480.87
1480,358.15
1481,108.16
1482,576.59
1483,370.65999999999997
1484,269.69000000000005
1485,489.95
1486,683.86
1487,605.29
1488,436.37
1489,662.8199999999999
1490,594.02
1491,498.08
1492,509.38
1493,603.76
1494,876.75
1495,1179.36
1496,1198.37
1497,1198.3
1498,1118.21
1499,998.44
1500,998.29
1501,1158.69
1502,1160.6799999999998
1503,750.72
1504,136.95
1505,8.120000000000001
1506,17.87
1507,24.0
1508,1.26
1509,103.42
1510,861.0699999999999
1511,690.51
1512,647.78
1513,647.77
1514,566.36
1515,481.88
1516,403.84999999999997
1517,442.57
1518,276.90999999999997
1519,419.0
1520,356.86
1521,150.34
1522,197.81
1523,178.24
1524,121.09
1525,188.57999999999998
1526,147.3
1527,107.89
1528,-6.859999999999999
1529,-7.52
1530,-7.54
1531,-7.5600000000000005
1532,-7.57
1533,-7.57
1534,-7.5600000000000005
1535,-7.5600000000000005
1536,-2.29
1537,-0.12
1538,55.76
1539,10.37
1540,8.94
1541,136.84
1542,131.55
1543,266.72
1544,233.27999999999997
1545,263.57
1546,431.38
1547,441.06
1548,392.88
1549,358.31
1550,410.51
1551,452.47
1552,705.49
1553,625.46
1554,299.49
1555,274.73
1556,161.99
1557,431.82
1558,719.44
1559,649.6800000000001
1560,699.91
1561,687.54
1562,594.96
1563,593.12
1564,600.2
1565,729.31
1566,962.24
1567,1157.3000000000002
1568,983.73
1569,935.63
1570,1189.37
1571,1398.17
1572,1398.26
1573,1398.4
1574,1398.24
1575,1325.66
1576,1309.8600000000001
1577,1448.3899999999999
1578,1355.52
1579,1198.52
1580,1143.92
1581,1116.28
1582,988.9200000000001
